,birnn1,birnn2,birnn4,gru1,gru2,gru4,lstm1,lstm2,lstm4
60,0.035368829,0.026302074,0.03814819,1.080954408,1.154868976,1.377566972,0.85218557,1.078837409,1.286412916
61,0.034922253,0.026309646,0.037768101,1.085377293,1.1545595,1.376922127,0.852587394,1.077991055,1.284796094
62,0.034471208,0.02655516,0.037933891,1.090382688,1.154060641,1.376615955,0.855966589,1.077928966,1.282590224
63,0.034235461,0.026359105,0.037602182,1.094162021,1.153376869,1.375569959,0.858850372,1.076566455,1.281342424
64,0.033904771,0.026198209,0.037734195,1.101625952,1.152877934,1.374096638,0.859991871,1.077049303,1.278746771
65,0.033658278,0.026553952,0.037439197,1.102911058,1.152631474,1.372079114,0.86091343,1.075867827,1.277334886
66,0.033447074,0.026071176,0.037585175,1.110081205,1.152202547,1.372610392,0.862341771,1.074618994,1.274534371
67,0.033417379,0.026398743,0.037656005,1.118510854,1.151484071,1.370596945,0.864107346,1.074486147,1.273252411
68,0.03321639,0.026198054,0.037379104,1.125674549,1.1514404,1.370027092,0.866688074,1.074651339,1.27079494
69,0.033019509,0.026312296,0.037181419,1.131312379,1.150432359,1.368565971,0.868796102,1.073365867,1.269881566
70,0.033039451,0.026123395,0.037210428,1.141063858,1.150458993,1.367761724,0.871287475,1.07247038,1.26853948
71,0.032772113,0.026048219,0.037363201,1.143113523,1.149526914,1.367861012,0.87427921,1.072547276,1.265232228
72,0.032689231,0.026126872,0.037349112,1.147367122,1.150257124,1.366124861,0.875193171,1.072748023,1.264327295
73,0.032806312,0.026275896,0.037334669,1.154349885,1.149841431,1.365695965,0.87826145,1.072151567,1.262805533
74,0.032613697,0.026026971,0.037176418,1.160763937,1.148153055,1.364517866,0.880728616,1.071205908,1.262517305
